HARP_NO,AR,Begin,End
6515,12536,2016-04-25 09:00:00,2016-05-03 23:12:00
6273,12485,2016-01-13 21:00:00,2016-01-22 11:12:00
2968,11793,2013-07-13 19:00:00,2013-07-22 08:36:00
2954,11792,2013-07-10 22:12:00,2013-07-19 11:48:00
7192,12689,2017-11-20 03:36:00,2017-11-28 11:48:00
5944,12414,2015-09-05 22:00:00,2015-09-15 09:36:00
6281,12487,2016-01-16 18:00:00,2016-01-25 07:36:00
7148,12683,2017-09-24 19:48:00,2017-10-03 04:24:00
6530,12540,2016-04-29 15:36:00,2016-04-30 12:00:00
3448,11916,2013-11-30 06:24:00,2013-12-08 15:48:00
5039,12259,2015-01-06 20:24:00,2015-01-15 05:00:00
6242,12480,2016-01-06 00:00:00,2016-01-14 21:36:00
3312,11869,2013-10-24 06:12:00,2013-10-25 08:12:00
5005,12256,2014-12-28 00:12:00,2015-01-05 10:12:00
6518,12537,2016-04-26 02:48:00,2016-04-26 23:00:00
5011,12253,2014-12-29 07:36:00,2015-01-06 15:36:00
2597,11713,2013-03-27 20:00:00,2013-04-05 11:48:00
3845,12003,2014-03-09 15:36:00,2014-03-10 14:24:00
2583,11703,2013-03-20 10:48:00,2013-03-21 09:12:00
794,11271,2011-08-14 22:24:00,2011-08-23 07:12:00
3879,12014,2014-03-18 21:48:00,2014-03-27 13:00:00
6732,12586,2016-09-01 00:24:00,2016-09-01 23:00:00
6054,12440,2015-10-24 17:24:00,2015-10-25 13:12:00
5549,12344,2015-05-09 23:12:00,2015-05-18 15:00:00
4131,12066,2014-05-13 06:12:00,2014-05-22 01:36:00
1075,11347,2011-11-12 16:48:00,2011-11-13 12:36:00
4092,12053,2014-05-03 05:24:00,2014-05-11 13:36:00
2420,11663,2013-01-24 19:48:00,2013-02-03 15:48:00
5415,12320,2015-04-02 06:36:00,2015-04-10 20:00:00
145,11101,2010-08-23 22:24:00,2010-09-01 09:24:00
7202,12690,2017-12-06 00:48:00,2017-12-06 20:48:00
637,11226,2011-05-27 06:24:00,2011-06-04 14:12:00
2193,11614,2012-11-10 17:12:00,2012-11-20 01:00:00
384,11160,2011-02-12 19:00:00,2011-02-21 02:48:00
5818,12391,2015-07-26 19:48:00,2015-08-04 04:48:00
2636,11718,2013-04-05 15:12:00,2013-04-14 04:36:00
2178,11607,2012-11-04 19:12:00,2012-11-05 15:00:00
421,11172,2011-03-11 01:12:00,2011-03-19 21:48:00
1465,11433,2012-03-10 05:00:00,2012-03-19 09:00:00
3515,11930,2013-12-16 21:24:00,2013-12-25 05:36:00
7015,12658,2017-05-17 08:24:00,2017-05-25 17:24:00
1464,11434,2012-03-10 01:12:00,2012-03-19 03:36:00
3273,11869,2013-10-12 07:00:00,2013-10-20 16:48:00
3267,11867,2013-10-09 04:00:00,2013-10-17 20:12:00
6492,12531,2016-04-12 18:00:00,2016-04-21 09:36:00
5831,12394,2015-07-29 11:24:00,2015-08-06 21:24:00
2186,11611,2012-11-07 05:12:00,2012-11-15 13:36:00
3703,11975,2014-02-01 07:36:00,2014-02-09 16:24:00
2353,11645,2013-01-02 19:36:00,2013-01-03 15:36:00
187,11109,2010-09-21 05:36:00,2010-09-30 21:24:00
805,11275,2011-08-20 16:48:00,2011-08-29 03:36:00
5212,12284,2015-02-12 15:24:00,2015-02-21 00:00:00
6069,12446,2015-10-31 09:24:00,2015-11-01 05:12:00
2227,11620,2012-11-18 21:12:00,2012-11-28 05:24:00
2541,11691,2013-03-07 01:36:00,2013-03-16 05:36:00
3688,11968,2014-01-27 08:00:00,2014-02-04 20:24:00
540,11199,2011-04-25 14:00:00,2011-04-26 09:48:00
226,11117,2010-10-18 19:36:00,2010-10-27 09:48:00
46,11078,2010-06-02 20:00:00,2010-06-11 23:00:00
597,11213,2011-05-11 23:12:00,2011-05-12 19:00:00
5789,12387,2015-07-14 21:48:00,2015-07-23 13:24:00
218,11113,2010-10-13 02:24:00,2010-10-21 11:24:00
5990,12428,2015-09-26 20:12:00,2015-09-27 16:00:00
2999,11801,2013-07-22 16:36:00,2013-07-31 08:12:00
224,11119,2010-10-18 04:00:00,2010-10-26 12:12:00
556,11203,2011-04-28 07:48:00,2011-05-06 18:48:00
3311,11882,2013-10-24 00:48:00,2013-11-01 15:00:00
1089,11352,2011-11-15 12:00:00,2011-11-23 19:48:00
2543,11698,2013-03-08 02:24:00,2013-03-17 09:48:00
2557,11695,2013-03-10 22:00:00,2013-03-20 02:48:00
6731,12585,2016-08-30 09:48:00,2016-09-09 00:12:00
740,11259,2011-07-17 13:36:00,2011-07-26 04:12:00
3113,11829,2013-08-20 16:48:00,2013-08-21 12:36:00
6692,12571,2016-08-04 02:12:00,2016-08-05 23:00:00
3098,11827,2013-08-17 20:00:00,2013-08-26 04:24:00
