HARP_NO,AR,Begin,End
2131,11597,2012-10-17 16:12:00,2012-10-18 15:00:00
1389,11416,2012-02-08 14:00:00,2012-02-16 21:48:00
5845,12395,2015-08-02 07:12:00,2015-08-10 16:00:00
6155,12463,2015-12-03 04:48:00,2015-12-11 13:00:00
681,11241,2011-06-22 12:48:00,2011-06-23 08:36:00
695,11247,2011-07-04 15:48:00,2011-07-13 00:00:00
4781,12205,2014-11-03 13:00:00,2014-11-11 21:12:00
5500,12326,2015-04-22 06:36:00,2015-04-23 02:48:00
1996,11563,2012-08-29 23:00:00,2012-09-08 02:48:00
1028,11339,2011-11-01 02:48:00,2011-11-09 10:36:00
6974,12646,2017-03-25 20:24:00,2017-03-26 16:12:00
3824,11998,2014-03-04 10:12:00,2014-03-13 22:24:00
252,11124,2010-11-09 16:36:00,2010-11-18 01:36:00
7115,12673,2017-08-28 09:00:00,2017-09-06 16:00:00
26,11072,2010-05-20 16:24:00,2010-05-29 02:36:00
3415,11907,2013-11-21 18:00:00,2013-11-30 05:24:00
1558,11463,2012-04-10 02:24:00,2012-04-18 21:24:00
2737,11746,2013-05-10 01:24:00,2013-05-18 09:48:00
6545,12545,2016-05-07 18:36:00,2016-05-16 11:24:00
6223,12477,2016-01-01 06:00:00,2016-01-09 22:24:00
2904,11780,2013-06-26 11:00:00,2013-06-27 06:48:00
285,11132,2010-12-03 23:12:00,2010-12-04 19:00:00
5935,12409,2015-09-01 05:00:00,2015-09-02 03:48:00
4381,12122,2014-07-21 21:00:00,2014-07-22 18:12:00
1574,11459,2012-04-14 07:00:00,2012-04-22 21:48:00
2069,11582,2012-09-25 17:00:00,2012-10-04 14:12:00
256,11126,2010-11-12 02:24:00,2010-11-20 10:24:00
6227,12478,2016-01-02 15:12:00,2016-01-11 07:36:00
2727,11741,2013-05-05 06:48:00,2013-05-13 15:00:00
2733,11743,2013-05-07 18:00:00,2013-05-16 03:12:00
4424,12134,2014-08-01 10:12:00,2014-08-09 18:24:00
1979,11558,2012-08-26 21:12:00,2012-09-04 23:36:00
4197,12085,2014-06-01 23:24:00,2014-06-10 13:48:00
1951,11552,2012-08-20 01:48:00,2012-08-28 10:00:00
6794,12599,2016-10-02 19:12:00,2016-10-11 03:12:00
2519,11686,2013-03-01 06:36:00,2013-03-02 02:24:00
3149,11837,2013-08-30 22:12:00,2013-08-31 18:00:00
685,11243,2011-06-27 06:36:00,2011-07-05 16:24:00
2492,11676,2013-02-16 00:12:00,2013-02-24 12:12:00
6838,12610,2016-11-09 16:12:00,2016-11-18 02:36:00
1164,11368,2011-12-05 02:36:00,2011-12-05 22:24:00
2337,11640,2012-12-29 12:12:00,2013-01-06 20:36:00
2109,11589,2012-10-08 22:12:00,2012-10-09 18:00:00
444,11180,2011-03-24 15:00:00,2011-04-02 16:48:00
6353,12503,2016-02-12 16:12:00,2016-02-21 04:12:00
2121,11591,2012-10-16 16:36:00,2012-10-17 12:24:00
7058,12664,2017-06-20 02:12:00,2017-06-28 10:12:00
323,11140,2010-12-30 07:00:00,2011-01-07 14:48:00
5673,12367,2015-06-10 20:36:00,2015-06-19 05:00:00
1367,11415,2012-01-30 12:00:00,2012-02-07 19:48:00
451,11183,2011-03-26 10:36:00,2011-04-04 08:24:00
2691,11730,2013-04-24 03:00:00,2013-05-03 04:24:00
2861,11773,2013-06-14 13:12:00,2013-06-22 21:12:00
2875,11776,2013-06-18 11:36:00,2013-06-19 07:24:00
2322,11636,2012-12-24 00:36:00,2013-01-01 08:24:00
2450,11669,2013-02-03 08:24:00,2013-02-11 16:48:00
3996,12034,2014-04-09 22:00:00,2014-04-18 06:12:00
3028,11809,2013-07-30 09:00:00,2013-08-07 19:12:00
6178,12470,2015-12-11 18:24:00,2015-12-20 03:36:00
1171,11375,2011-12-07 16:48:00,2011-12-16 02:36:00
3766,11982,2014-02-16 14:12:00,2014-02-24 22:24:00
1603,11466,2012-04-21 01:00:00,2012-04-29 10:48:00
135,11100,2010-08-15 08:12:00,2010-08-23 17:48:00
3941,12027,2014-03-30 00:24:00,2014-04-08 02:48:00
684,11244,2011-06-26 21:12:00,2011-07-05 07:00:00
1993,11560,2012-08-29 10:36:00,2012-09-07 14:24:00
1978,11556,2012-08-26 09:12:00,2012-08-27 05:00:00
4800,12208,2014-11-07 14:36:00,2014-11-16 04:12:00
2732,11736,2013-05-06 14:12:00,2013-05-07 10:00:00
1549,11455,2012-04-07 13:00:00,2012-04-16 06:12:00
2040,11575,2012-09-17 23:24:00,2012-09-27 04:48:00
7110,12672,2017-08-19 21:48:00,2017-08-29 11:00:00
3376,11899,2013-11-12 02:00:00,2013-11-20 09:48:00
3362,11894,2013-11-07 08:48:00,2013-11-08 05:00:00
5075,12266,2015-01-14 03:36:00,2015-01-23 07:24:00
4396,12127,2014-07-27 01:00:00,2014-08-04 10:00:00
2718,11740,2013-05-03 09:24:00,2013-05-11 17:36:00
241,11120,2010-10-29 16:12:00,2010-11-07 23:12:00
5739,12385,2015-07-01 23:12:00,2015-07-10 14:24:00
6224,12476,2016-01-01 08:12:00,2016-01-10 00:36:00
4816,12210,2014-11-11 19:12:00,2014-11-12 15:36:00
6967,12643,2017-03-20 20:24:00,2017-03-29 04:36:00
1946,11548,2012-08-17 21:24:00,2012-08-26 05:36:00
902,11305,2011-09-24 15:48:00,2011-10-04 01:12:00
3176,11841,2013-09-10 19:36:00,2013-09-19 22:12:00
725,11254,2011-07-13 07:24:00,2011-07-22 02:48:00
3604,11950,2014-01-08 03:12:00,2014-01-16 16:48:00
6754,12595,2016-09-11 12:48:00,2016-09-19 23:00:00
6026,12437,2015-10-16 06:24:00,2015-10-24 14:36:00
2240,11621,2012-11-24 04:24:00,2012-12-03 12:48:00
5249,12293,2015-02-23 05:12:00,2015-03-04 16:24:00
686,11242,2011-06-28 02:12:00,2011-06-28 22:00:00
3957,12029,2014-04-01 06:36:00,2014-04-02 02:24:00
2491,11675,2013-02-15 05:12:00,2013-02-23 17:12:00
5315,12302,2015-03-09 19:36:00,2015-03-19 00:24:00
2693,11731,2013-04-24 19:12:00,2013-05-03 05:12:00
321,11139,2010-12-28 23:36:00,2011-01-06 07:24:00
6436,12523,2016-03-15 15:12:00,2016-03-16 11:00:00
2651,11721,2013-04-09 00:36:00,2013-04-17 20:00:00
6437,12524,2016-03-15 23:24:00,2016-03-24 09:24:00
2137,11598,2012-10-20 13:48:00,2012-10-29 22:00:00
5658,12364,2015-06-06 03:36:00,2015-06-14 11:48:00
5880,12401,2015-08-12 20:12:00,2015-08-21 05:12:00
2123,11594,2012-10-16 16:36:00,2012-10-17 12:24:00
5894,12407,2015-08-22 02:36:00,2015-08-31 00:36:00
6345,12498,2016-02-09 02:12:00,2016-02-17 21:12:00
650,11232,2011-05-31 23:12:00,2011-06-09 07:00:00
3942,12026,2014-03-30 04:36:00,2014-04-07 18:24:00
4963,12244,2014-12-18 21:00:00,2014-12-27 07:36:00
1990,11562,2012-08-28 15:12:00,2012-09-06 18:00:00
6027,12436,2015-10-16 15:12:00,2015-10-24 23:24:00
6999,12654,2017-04-26 16:36:00,2017-05-05 01:36:00
4156,12071,2014-05-19 12:48:00,2014-05-27 22:00:00
2533,11690,2013-03-05 23:00:00,2013-03-15 02:36:00
6769,12597,2016-09-19 01:00:00,2016-09-27 10:12:00
3836,12002,2014-03-07 05:24:00,2014-03-16 19:48:00
3188,11853,2013-09-16 09:00:00,2013-09-25 18:12:00
4817,12209,2014-11-12 08:12:00,2014-11-20 23:24:00
6972,12644,2017-03-25 00:24:00,2017-04-02 09:00:00
5738,12378,2015-07-01 17:36:00,2015-07-10 14:12:00
6231,12479,2016-01-03 09:00:00,2016-01-04 04:48:00
1210,11381,2011-12-17 00:24:00,2011-12-25 09:12:00
7107,12671,2017-08-14 02:24:00,2017-08-23 02:36:00
532,11201,2011-04-24 17:36:00,2011-05-03 08:24:00
4383,12126,2014-07-22 11:24:00,2014-07-31 02:36:00
297,11135,2010-12-11 18:48:00,2010-12-20 02:48:00
